"","Latitude","Longitude","X100","NPP"
"455",-71.5,-130.5,-1.445,625.307
"456",-71.5,-126.5,-1.645,625.307
"457",-71.5,-125.5,-1.744,244.378
"458",-71.5,-124.5,-1.811,244.378
"459",-71.5,-123.5,-1.826,244.378
"460",-71.5,-122.5,-1.76,244.378
"461",-71.5,-121.5,-1.553,244.378
"462",-71.5,-119.5,-1.746,244.378
"463",-71.5,-118.5,-1.667,237.064
"464",-71.5,-117.5,-1.657,237.064
"465",-71.5,-116.5,-1.679,237.064
"466",-71.5,-115.5,-1.701,237.064
"467",-71.5,-114.5,-1.702,237.064
"468",-71.5,-113.5,-1.737,237.064
"469",-71.5,-112.5,-1.741,237.064
"470",-71.5,-111.5,-1.67,237.064
"471",-71.5,-110.5,-1.717,237.064
"472",-71.5,-109.5,-1.758,237.064
"473",-71.5,-108.5,-1.755,237.064
"474",-71.5,-107.5,-1.789,237.064
"475",-71.5,-106.5,-1.795,237.064
"476",-71.5,-105.5,-1.802,237.064
"477",-71.5,-104.5,-1.819,237.064
"478",-71.5,-103.5,-1.794,237.064
"479",-71.5,-102.5,-1.786,237.064
"480",-71.5,-101.5,-1.709,237.064
"481",-71.5,-99.5,-1.736,168.8635
"482",-71.5,-95.5,-1.712,168.8635
"483",-71.5,-94.5,-1.615,168.8635
"484",-71.5,-93.5,-1.633,168.8635
"485",-71.5,-92.5,-1.699,168.8635
"486",-71.5,-91.5,-1.715,168.8635
"487",-71.5,-90.5,-1.699,168.8635
"488",-71.5,-89.5,-1.581,168.8635
"489",-71.5,-88.5,-1.44,168.8635
"490",-71.5,-87.5,-1.507,168.8635
"491",-71.5,-86.5,-1.366,168.8635
"492",-71.5,-85.5,-1.466,168.8635
"493",-71.5,-84.5,-1.177,168.8635
"494",-71.5,-83.5,-1.076,182.8315
"495",-71.5,-82.5,-1.037,197.1755
"496",-71.5,-81.5,-0.965,325.6275
"497",-71.5,-80.5,-1.202,317.859
"498",-71.5,-79.5,-1.204,317.859
"499",-71.5,-78.5,-1.393,271.196
"500",-71.5,-77.5,-1.254,271.196
"501",-71.5,-76.5,-0.904,324.973
"502",-71.5,-43.5,-1.878,164.054
"503",-71.5,-42.5,-1.839,164.054
"504",-71.5,-41.5,-1.796,164.054
"505",-71.5,-40.5,-1.839,164.054
"506",-71.5,-39.5,-1.807,164.054
"507",-71.5,-38.5,-1.731,164.054
"508",-71.5,-37.5,-1.761,164.054
"509",-71.5,-36.5,-1.732,164.054
"510",-71.5,-35.5,-1.819,164.054
"511",-71.5,-34.5,NA,164.054
"512",-71.5,-33.5,NA,164.054
"513",-71.5,-32.5,-1.872,164.054
"514",-71.5,-31.5,NA,164.054
"515",-71.5,-30.5,NA,164.054
"516",-71.5,-29.5,NA,164.054
"517",-71.5,-27.5,-1.862,144.6155
"518",-71.5,-26.5,-1.865,164.275
"519",-71.5,-25.5,-1.862,155.358
"520",-71.5,-24.5,-1.43,239.102
