"","Latitude","Longitude","X100","NPP","W","K","z_star"
"130",-75.5,-34.5,-1.862,250.66,3.3417885296992,0.0114,293.139344710456
"131",-75.5,-33.5,-1.845,250.66,3.34968330651644,0.0108,310.155861714486
"132",-75.5,-32.5,-1.855,244.376,3.33562277144943,0.0107,311.740445929853
"133",-75.5,-31.5,-1.865,389.1245,3.55441705266745,0.0107,332.188509595089
"134",-75.5,-30.5,-1.875,721.592,4.12025358819481,0.0118,349.174032897865
"135",-75.5,-29.5,-1.896,960.179,4.57225315118414,0.0112,408.236888498584
"136",-75.5,-28.5,-1.893,729.2625,4.12413571274353,0.0105,392.774829785098
"137",-75.5,-27.5,-1.909,531.482,3.76568983734933,0.0112,336.22230690619
"138",-75.5,164.5,-1.791,529.07,3.8237364154526,0.0105,364.165372900248
"139",-75.5,165.5,-1.857,794.628,4.26810449114006,0.0108,395.194860290747
"140",-75.5,166.5,-1.89,2361.725,8.57998628059208,0.0112,766.070203624293
"141",-75.5,167.5,-1.882,3257.79,12.8382358325084,0.01,1283.82358325084
"142",-75.5,168.5,-1.793,3349.95,13.5463228945307,0.0102,1328.07087201281
"143",-75.5,169.5,-1.817,2216.26,8.11994918054151,0.0118,688.131286486568
"144",-75.5,170.5,-1.843,1116.639,4.94083820484287,0.0111,445.120558994853
"145",-75.5,171.5,-1.801,1211.47066666667,5.18565796182269,0.012,432.138163485224
"146",-75.5,172.5,-1.606,699.1205,4.23411487987471,0.0109,388.450906410524
"147",-75.5,173.5,-1.6,476.008,3.83412469665345,0.0117,327.702965525936
"148",-75.5,174.5,-1.547,663.51175,4.20129650564902,0.012,350.108042137418
"149",-75.5,175.5,-1.677,784.29275,4.35584678868954,0.0106,410.928942329202
"150",-75.5,176.5,-1.746,840.6355,4.42473918088565,0.0115,384.759928772665
"151",-75.5,177.5,-1.627,765.959666666667,4.35026517972989,0.0114,381.602208748236
"152",-75.5,178.5,-1.527,696.105,4.27501369588764,0.0108,395.834601471078
"153",-75.5,179.5,-1.349,757.423,4.50413290537407,0.012,375.344408781172
"154",-74.5,-179.5,-1.826,245.145,3.35023197363237,0.0119,281.532098624569
"155",-74.5,-177.5,-1.766,169.786,3.26597803704599,0.0112,291.605181879106
"156",-74.5,-176.5,-1.386,142.062,3.40032247189621,0.0117,290.625852298821
"157",-74.5,-175.5,-1.714,151.839,3.26326362544569,0.0115,283.762054386582
"158",-74.5,-174.5,-1.487,120.751,3.32109040783517,0.0119,279.083227549174
"159",-74.5,-170.5,-1.8,724.819,4.16940050422142,0.0108,386.055602242724
"160",-74.5,-169.5,-1.633,704.653,4.22875635914498,0.0109,387.959299004127
"161",-74.5,-168.5,-1.678,753.186,4.29490248727141,0.011,390.445680661037
"162",-74.5,-167.5,-1.744,814.664,4.374712149303,0.0107,408.851602738598
"163",-74.5,-166.5,-1.76,873.513,4.48175023908877,0.0101,443.737647434532
"164",-74.5,-165.5,-1.728,517.0025,3.83649961256883,0.012,319.708301047403
"165",-74.5,-164.5,-1.466,591.498,4.11376250797704,0.01,411.376250797704
"166",-74.5,-163.5,-1.55,505.729333333333,3.91263611876599,0.0109,358.957442088623
"167",-74.5,-162.5,-1.801,548.712333333333,3.85222004933562,0.0116,332.087935287554
