"","df71.Fz0","df71.Longitude","df71.Latitude"
"429",105.7086295953,-158.5,-71.5
"430",86.3506077098743,-157.5,-71.5
"431",95.1440289870563,-156.5,-71.5
"432",88.765558867682,-155.5,-71.5
"433",100.901292556609,-154.5,-71.5
"434",86.0085197057609,-153.5,-71.5
"435",101.053436722584,-152.5,-71.5
"436",92.20055355386,-151.5,-71.5
"437",86.6004258223252,-150.5,-71.5
"438",54.215255871048,-148.5,-71.5
"439",56.7978844735031,-147.5,-71.5
"440",104.576491269259,-139.5,-71.5
"441",103.329072853507,-138.5,-71.5
"442",98.2536900885057,-137.5,-71.5
"443",72.8320877145372,-134.5,-71.5
"444",81.7654549556991,-133.5,-71.5
"445",120,-132.5,-71.5
"446",120,-131.5,-71.5
"447",120,-130.5,-71.5
"448",120,-126.5,-71.5
"449",64.6223442250269,-125.5,-71.5
"450",64.9696499378877,-124.5,-71.5
"451",65.047660314678,-123.5,-71.5
"452",64.7051137868537,-122.5,-71.5
"453",63.6424204884605,-121.5,-71.5
"454",64.632684627313,-119.5,-71.5
"455",62.3032864753551,-118.5,-71.5
"456",62.253463777911,-117.5,-71.5
"457",62.363126348915,-116.5,-71.5
"458",62.4729820959891,-115.5,-71.5
"459",62.4779801344757,-114.5,-71.5
"460",62.6531636212805,-113.5,-71.5
"461",62.6732158418235,-112.5,-71.5
"462",62.3182410585874,-111.5,-71.5
"463",62.5529987127818,-110.5,-71.5
"464",62.7585094018426,-109.5,-71.5
"465",62.7434491668867,-108.5,-71.5
"466",62.9143436597688,-107.5,-71.5
"467",62.9445497936176,-106.5,-71.5
"468",62.9798086130501,-105.5,-71.5
"469",63.0655194229036,-104.5,-71.5
"470",62.9395144310513,-103.5,-71.5
"471",62.8992460290786,-102.5,-71.5
"472",62.5129776017272,-101.5,-71.5
"473",44.6250216921045,-99.5,-71.5
"474",44.539423850679,-95.5,-71.5
"475",44.1951354881276,-94.5,-71.5
"476",44.2588223267493,-93.5,-71.5
"477",44.4931269284468,-92.5,-71.5
"478",44.5501145952412,-91.5,-71.5
"479",44.4931269284468,-90.5,-71.5
"480",44.075088058118,-89.5,-71.5
"481",43.5807145732071,-88.5,-71.5
"482",43.8149343515724,-87.5,-71.5
"483",43.3234789117565,-86.5,-71.5
"484",43.6714567987183,-85.5,-71.5
"485",42.6733552312246,-84.5,-71.5
"486",45.8313792777951,-83.5,-71.5
"487",49.273096642138,-82.5,-71.5
"488",80.9052017053671,-81.5,-71.5
"489",80.486697165446,-80.5,-71.5
"490",80.4995760672771,-79.5,-71.5
"491",69.7282703969073,-78.5,-71.5
"492",68.957187198314,-77.5,-71.5
"493",80.3495210923763,-76.5,-71.5
"494",43.8493401958926,-43.5,-71.5
"495",43.7127434562026,-42.5,-71.5
"496",43.5626299619552,-41.5,-71.5
"497",43.7127434562026,-40.5,-71.5
"498",43.6009819487209,-39.5,-71.5
"499",43.3366922333602,-38.5,-71.5
"500",43.4408252043016,-37.5,-71.5
"501",43.34015930742,-36.5,-71.5
"502",43.642858989155,-35.5,-71.5
"503",43.8282975632344,-32.5,-71.5
"504",38.6042558732036,-27.5,-71.5
"505",43.8627693962165,-26.5,-71.5
"506",41.4719029699386,-25.5,-71.5
"507",61.658695695972,-24.5,-71.5
"508",67.0125976848169,-23.5,-71.5
"509",26.1616255582667,-22.5,-71.5
"510",27.5173416463938,-21.5,-71.5
"511",26.4589459575416,-20.5,-71.5
"512",60.70371435299,-19.5,-71.5
"513",59.6494476212573,-18.5,-71.5
"514",60.5727358377085,-17.5,-71.5
"515",60.8155120097019,-16.5,-71.5
"516",61.0201958062662,-15.5,-71.5
"517",61.1081281843447,-14.5,-71.5
"518",61.0397253934915,-13.5,-71.5
"519",61.1374671266561,-12.5,-71.5
"520",49.049898287497,172.5,-71.5
"521",46.6775409079865,173.5,-71.5
"522",41.1379560446096,174.5,-71.5
"523",38.8996357501261,175.5,-71.5
"524",39.7377555680011,176.5,-71.5
"525",32.7648725080573,177.5,-71.5
"526",38.7607751279693,179.5,-71.5
"527",37.810142354723,-179.5,-70.5
"528",34.9547274282079,-178.5,-70.5
"529",34.8736408057998,-177.5,-70.5
"530",55.5821251742547,-173.5,-70.5
"531",66.8246379571619,-172.5,-70.5
"532",77.2780860134263,-171.5,-70.5
"533",120,-162.5,-70.5
"534",120,-161.5,-70.5
"535",120,-160.5,-70.5
"536",100.897991636595,-159.5,-70.5
"537",104.61509950134,-158.5,-70.5
"538",92.6268422824585,-157.5,-70.5
"539",82.7261518077017,-156.5,-70.5
"540",96.2079406861212,-155.5,-70.5
"541",105.073761638051,-154.5,-70.5
"542",88.6775183236985,-153.5,-70.5
"543",88.4088289569399,-152.5,-70.5
"544",84.3502973769098,-151.5,-70.5
"545",75.0674426891697,-150.5,-70.5
