"","Temperature.X100","Temperature.Longitude","Temperature.Latitude"
"585",-1.517,-111.5,-70.5
"586",-1.365,-110.5,-70.5
"587",-1.541,-106.5,-70.5
"588",-1.77,-105.5,-70.5
"589",-1.553,-104.5,-70.5
"590",-1.434,-102.5,-70.5
"591",-1.644,-101.5,-70.5
"592",-1.692,-100.5,-70.5
"593",-1.058,-99.5,-70.5
"594",-0.84,-98.5,-70.5
"595",-1.031,-97.5,-70.5
"596",-1.427,-96.5,-70.5
"597",-1.454,-95.5,-70.5
"598",-1.593,-94.5,-70.5
"599",-1.613,-93.5,-70.5
"600",-1.636,-92.5,-70.5
"601",-1.516,-91.5,-70.5
"602",-1.602,-90.5,-70.5
"603",-1.608,-89.5,-70.5
"604",-1.582,-88.5,-70.5
"605",-1.599,-87.5,-70.5
"606",-1.645,-86.5,-70.5
"607",-1.6,-85.5,-70.5
"608",-1.118,-84.5,-70.5
"609",-1.136,-83.5,-70.5
"610",-1.365,-82.5,-70.5
"611",-1.364,-81.5,-70.5
"612",-1.551,-80.5,-70.5
"613",-1.441,-79.5,-70.5
"614",-1.293,-78.5,-70.5
"615",-1.152,-77.5,-70.5
"616",-1.071,-76.5,-70.5
"617",-1.678,-48.5,-70.5
"618",-1.936,-41.5,-70.5
"619",-1.792,-40.5,-70.5
"620",-1.804,-39.5,-70.5
"625",-1.761,-34.5,-70.5
"629",-1.774,-29.5,-70.5
"630",-1.818,-28.5,-70.5
"631",-1.715,-27.5,-70.5
"632",-1.688,-26.5,-70.5
"633",-1.62,-25.5,-70.5
"634",-1.447,-24.5,-70.5
"635",-1.185,-23.5,-70.5
"636",-1.585,-22.5,-70.5
"637",-1.822,-21.5,-70.5
"638",-1.348,-20.5,-70.5
"639",-1.692,-19.5,-70.5
"640",-1.756,-18.5,-70.5
"641",-1.586,-17.5,-70.5
"642",-1.406,-16.5,-70.5
"643",-1.678,-15.5,-70.5
"644",-1.715,-14.5,-70.5
"645",-1.74,-13.5,-70.5
"646",-1.81,-12.5,-70.5
"647",-1.816,-11.5,-70.5
"648",-1.775,-10.5,-70.5
"649",-1.843,-9.5,-70.5
"650",-1.784,-8.5,-70.5
"651",-1.859,-7.5,-70.5
"652",-1.699,-4.5,-70.5
"653",-1.769,-3.5,-70.5
"654",-1.738,-1.5,-70.5
"655",-1.608,25.5,-70.5
"656",-0.995,168.5,-70.5
"657",-1.309,169.5,-70.5
"658",-1.77,171.5,-70.5
"659",-1.796,172.5,-70.5
"660",-1.808,174.5,-70.5
"661",-1.816,175.5,-70.5
"662",-0.763,176.5,-70.5
"663",-1.35,179.5,-70.5
"664",-0.807,-179.5,-69.5
"665",0.32,-178.5,-69.5
"666",0.26,-177.5,-69.5
"667",-1.789,-176.5,-69.5
"668",-1.551,-175.5,-69.5
"669",-1.694,-174.5,-69.5
"670",-1.764,-173.5,-69.5
"671",-0.781,-171.5,-69.5
"672",-0.614,-170.5,-69.5
"674",-1.119,-165.5,-69.5
"675",-0.879,-164.5,-69.5
"676",-0.815,-163.5,-69.5
"677",-0.822,-160.5,-69.5
"678",-0.866,-159.5,-69.5
"679",-1.075,-158.5,-69.5
"680",-1.477,-157.5,-69.5
"681",-1.741,-152.5,-69.5
"682",-1.623,-151.5,-69.5
"683",-1.693,-150.5,-69.5
"684",-1.459,-149.5,-69.5
"685",-1.657,-148.5,-69.5
"686",-1.604,-147.5,-69.5
"687",-1.632,-146.5,-69.5
"688",-1.565,-145.5,-69.5
"689",-1.25,-144.5,-69.5
"690",-1.289,-143.5,-69.5
"691",-1.457,-142.5,-69.5
"692",-1.463,-141.5,-69.5
"693",-1.722,-140.5,-69.5
"694",-1.157,-139.5,-69.5
"695",-1.156,-138.5,-69.5
"696",-1.341,-137.5,-69.5
"697",-1.377,-136.5,-69.5
"698",-1.217,-135.5,-69.5
"699",-1.366,-134.5,-69.5
"700",-1.396,-133.5,-69.5
"701",-0.664,-129.5,-69.5
"702",-0.589,-127.5,-69.5
"703",-0.877,-126.5,-69.5
"704",-1.275,-125.5,-69.5
"705",-1.024,-124.5,-69.5
"706",-0.035,-123.5,-69.5
"707",-1.165,-122.5,-69.5
"708",-1.126,-121.5,-69.5
"709",0.117,-120.5,-69.5
"710",-0.364,-119.5,-69.5
"711",-0.343,-118.5,-69.5
"712",-0.89,-117.5,-69.5
"713",0.044,-116.5,-69.5
"714",-0.478,-115.5,-69.5
"715",-0.526,-114.5,-69.5
"716",-0.055,-112.5,-69.5
"717",-0.93,-109.5,-69.5
"718",-0.862,-108.5,-69.5
"719",-1.056,-107.5,-69.5
"720",-0.962,-106.5,-69.5
"721",-1.19,-105.5,-69.5
"722",-0.973,-104.5,-69.5
"723",-1.159,-103.5,-69.5
"724",-1.023,-102.5,-69.5
"725",-1.062,-101.5,-69.5
"726",-1.151,-100.5,-69.5
"727",-1.363,-99.5,-69.5
"728",-1.448,-98.5,-69.5
"729",-1.512,-97.5,-69.5
"730",-1.014,-96.5,-69.5
"731",-1.049,-95.5,-69.5
"732",-1.201,-94.5,-69.5
"733",-0.945,-93.5,-69.5
"734",-0.725,-92.5,-69.5
"735",-0.753,-91.5,-69.5
"736",-0.693,-90.5,-69.5
"737",-0.748,-89.5,-69.5
"738",-1.122,-88.5,-69.5
"739",-1.221,-87.5,-69.5
"740",-1.32,-86.5,-69.5
"741",-1.522,-85.5,-69.5
"742",-1.138,-84.5,-69.5
"743",-0.888,-83.5,-69.5
"744",-0.991,-82.5,-69.5
"745",-1.276,-81.5,-69.5
"746",-1.437,-80.5,-69.5
"747",-1.475,-79.5,-69.5
"748",-1.424,-78.5,-69.5
"749",-1.255,-77.5,-69.5
"750",-1.263,-76.5,-69.5
"751",-1.21,-75.5,-69.5
"752",-0.971,-74.5,-69.5
"753",-0.796,-73.5,-69.5
"754",-1.754,-41.5,-69.5
"755",-1.526,-40.5,-69.5
"756",-1.398,-39.5,-69.5
"757",-1.298,-38.5,-69.5
"758",-1.153,-37.5,-69.5
"759",-1.175,-36.5,-69.5
"760",-1.333,-35.5,-69.5
"761",-1.039,-34.5,-69.5
"762",-0.753,-33.5,-69.5
"763",-1.13,-32.5,-69.5
"764",-1.354,-31.5,-69.5
"765",-1.272,-30.5,-69.5
"766",-1.548,-29.5,-69.5
"767",-1.239,-28.5,-69.5
"768",-1.286,-27.5,-69.5
"769",-1.33,-26.5,-69.5
"770",-1.199,-25.5,-69.5
"771",-1.103,-24.5,-69.5
"772",-0.773,-23.5,-69.5
"773",-1.093,-22.5,-69.5
"774",-0.864,-21.5,-69.5
"775",-1.113,-20.5,-69.5
"776",-0.696,-19.5,-69.5
"777",-0.953,-18.5,-69.5
"778",-1.224,-17.5,-69.5
"779",-1.106,-16.5,-69.5
"780",-1.012,-15.5,-69.5
"781",-0.983,-14.5,-69.5
"782",-1.447,-13.5,-69.5
"783",-1.248,-12.5,-69.5
"784",-1.297,-11.5,-69.5
"785",-1.199,-10.5,-69.5
"786",-1.047,-9.5,-69.5
"787",-1.379,-8.5,-69.5
"788",-1.466,-7.5,-69.5
"789",-1.491,-6.5,-69.5
"790",-1.209,-5.5,-69.5
"791",-1.552,-4.5,-69.5
"792",-1.097,-3.5,-69.5
"793",-1.582,-2.5,-69.5
"794",-1.596,-1.5,-69.5
"795",-1.369,0.5,-69.5
"796",-1.408,1.5,-69.5
